Data;Loja;Investimento;Leads gerados;Faturamento no mês;Roas;Cpl
01/01/2026;Loja oculta 2;R$ 33.406,25;1.237;R$ 476.052,49;14,3;R$ 27,01
01/01/2026;Loja oculta 3;R$ 12.500,00;787;R$ 147.703,34;11,8;R$ 15,88
01/01/2026;Loja oculta 4;R$ 9.000,00;641;R$ 115.692,40;12,9;R$ 14,04
01/01/2026;Loja oculta 1;R$ 40.000,00;2.987;R$ 645.157,24;16,1;R$ 13,39
01/02/2026;Loja oculta 2;R$ 20.000,00;1.149;R$ 292.742,96;14,6;R$ 17,41
01/02/2026;Loja oculta 3;R$ 12.500,00;615;R$ 185.384,89;14,8;R$ 20,33
01/02/2026;Loja oculta 4;R$ 10.000,00;856;R$ 106.884,78;10,7;R$ 11,68
01/02/2026;Loja oculta 1;R$ 40.000,00;3.184;R$ 656.769,68;16,4;R$ 12,56
01/03/2026;Loja oculta 2;R$ 24.000,00;1.149;R$ 474.061,57;19,8;R$ 20,89
01/03/2026;Loja oculta 3;R$ 15.000,00;761;R$ 277.340,93;18,5;R$ 19,71
01/03/2026;Loja oculta 4;R$ 10.000,00;652;R$ 127.364,49;12,7;R$ 15,34
01/03/2026;Loja oculta 1;R$ 40.000,00;3.489;R$ 673.531,36;16,8;R$ 11,46
