ID;N° do Pedido;N° do Pedido na Loja Virtual;Data;ID contato;Nome do contato;Cpf/Cnpj;Endereco;Bairro;Município;Cep;Estado;E-mail;Telefone;Desconto pedido;Frete;Observações;Situação;ID produto;Descrição;Quantidade;Valor unitário;Desconto item;Preço de Custo;Preço Total;Código do contato;Código do produto;Frete proporcional;Desconto proporcional;Vendedor;Nº da NFe;Natureza da NFe;Situação da NFe;Última ocorrência;Outras despesas;Outras despesas proporcional;Loja virtual;Custo total;Fornecedor;Margem;"""Lucro""";Modelo;Categoria;Medida;Tecido;Canal;Forma de pagamento;Parcelado?;Parcelado em quantas vezes;Pronto entrega ou encomenda?;;
24739041629;6712;;03/01/2026;17875345646;CLIENTE OCULTO 1;;;Vila Romana;São Paulo;;SP;;;R$ 0,00;R$ 698,00;;Logística;16585380429;CADEIRA MODELO LYON / MAD PRETO COURO ECOLOGICO GRUPO 03/REFERENCIAR33;8;R$ 698,00;R$ 0,00;R$ 378,78;R$ 6.254,08;;;R$ 76,24;R$ 0,00;Vendedor oculto 13;;;;07/01/2026;0;0;Loja oculta 2;R$ 3.030,24;Oculto;46%;R$ 2.553,76;Cadeira Lyon;Produto categoria E;;;;02 - Pix - Matriz - Itaú;À vista;À vista;Encomenda;;
24739051296;6713;;03/01/2026;17875360478;CLIENTE OCULTO 2;;;Parque Marajoara;Tatuí;;SP;;;R$ 0,00;R$ 799,00;;Logística;16585665388;CADEIRA IRLANDA / MAD CINAMOMO CLARO E TECIDO R19 GRUPO 02- R19;2;R$ 799,00;R$ 458,50;R$ 450,50;R$ 1.789,76;;;R$ 78,22;R$ 0,00;Vendedor oculto 9;;;;08/01/2026;0;0;Loja oculta 2;R$ 901,00;Oculto;44%;R$ 697,00;Cadeira Irlanda;Produto categoria E;;;;02 - Pix - Assumpção - Itaú;À vista;À vista;Encomenda;;
24739051296;6713;;03/01/2026;17875360478;CLIENTE OCULTO 3;;;Parque Marajoara;Tatuí;;SP;;;R$ 0,00;R$ 699,00;;Logística;16585666315;CADEIRA TELA 01 / MADEIRA CINAMOMO CLARO / TEC GRUPO 02 REF R19;6;R$ 699,00;R$ 389,61;R$ 350,00;R$ 4.697,28;;;R$ 205,30;R$ 0,00;Vendedor oculto 9;;;;08/01/2026;0;0;Loja oculta 2;R$ 2.100,00;Oculto;50%;R$ 2.094,00;Cadeira Parma;Produto categoria E;;;;02 - Pix - Assumpção - Itaú;À vista;À vista;Encomenda;;Top 10 produtos mais vendidos
24739051296;6713;;03/01/2026;17875360478;CLIENTE OCULTO 4;;;Parque Marajoara;Tatuí;;SP;;;R$ 0,00;R$ 4.218,00;;Logística;16585667427;MESA DE JANTAR MONTEVIDEU2,18 x 1,00/ ACABAMENTO TAMPO E BASE TODA EM MADEIRA CINAMOMO CLARO;1;R$ 4.218,00;R$ 2.199,59;R$ 1.835,00;R$ 4.724,16;;;R$ 206,48;R$ 0,00;Vendedor oculto 9;;;;08/01/2026;0;0;Loja oculta 2;R$ 1.835,00;Oculto;56%;R$ 2.383,00;Mesa Montevideo;Produto categoria B;2,20;;;02 - Pix - Assumpção - Itaú;À vista;À vista;Encomenda;;Top 10 produtos com maior faturamento
24738161956;13624;;03/01/2026;17875079139;CLIENTE OCULTO 5;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16009301146;Coqueteleira Aço Inox  Com Receitas 500ml;1;R$ 27,99;R$ 30,00;R$ 14,00;R$ 31,35;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 14,00;Oculto;50%;R$ 14,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 1x;Parcelado;1x;Pronta-Entrega;;Cuva A (produtos que representam 80% das vendas)
24738161956;13624;;03/01/2026;17875079139;CLIENTE OCULTO 6;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16122354468;Conjunto Para Churrasco Couper 2PC;1;R$ 20,00;R$ 50,00;R$ 10,00;R$ 22,40;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 10,00;Oculto;50%;R$ 10,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito VISA 1x;Parcelado;1x;Pronta-Entrega;;10 produtos com mais estoque
24738266041;13625;;03/01/2026;17590474875;CLIENTE OCULTO 7;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15789362180;Prato Fundo Cerâmica Bothanica 20,5cm;2;R$ 13,50;R$ 50,00;R$ 6,75;R$ 30,24;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 13,50;Oculto;50%;R$ 13,50;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito ELO 1x;Parcelado;1x;Encomenda;;
24738266041;13625;;03/01/2026;17590474875;CLIENTE OCULTO 8;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;16122354499;Conjunto de Jarra com 4 Copos e Suporte Juquehy;1;R$ 65,00;R$ 50,00;R$ 32,50;R$ 72,80;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 32,50;Oculto;50%;R$ 32,50;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito ELO 1x;Parcelado;1x;Pronta-Entrega;;
24738266041;13625;;03/01/2026;17590474875;CLIENTE OCULTO 9;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15609453662;Organizador Multiuso com alça 28CM;2;R$ 13,50;R$ 50,00;R$ 6,75;R$ 30,24;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 13,50;Oculto;50%;R$ 13,50;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito ELO 1x;Parcelado;1x;Pronta-Entrega;;
24738321442;13626;;03/01/2026;17590474875;CLIENTE OCULTO 10;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;13325854023;Porta Frios Duplo Com Tampa;1;R$ 38,49;R$ 30,00;R$ 19,25;R$ 43,11;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 19,25;Oculto;50%;R$ 19,25;Decoração Geral;Produto categoria F;;;;Pix ;À vista;À vista;Pronta-Entrega;;
