Data;Faturamento;Número de pedidos;Ticket médio;Loja únificada;;;
01/01/2024;R$ 134.427,57;203;R$ 662,20;Loja oculta 3;;;Crescemos mais por volume ou por ticket médio?
01/01/2024;R$ 138.569,55;55;R$ 2.519,45;Loja oculta 2;;;Participação no faturamento por loja?
01/01/2024;R$ 39.232,89;104;R$ 377,24;Loja oculta 4;;;Alguma loja estagnou?
01/01/2024;R$ 2.920,40;2;R$ 1.460,20;Loja oculta 1;;;Alguma loja virou o game?
01/01/2024;R$ 130.885,39;94;R$ 1.392,40;Loja oculta 1;;;
01/01/2024;R$ 172.259,00;;;Loja oculta 1;;;
01/01/2024;R$ 58.113,00;48;R$ 1.210,69;Loja oculta 1;;;
01/01/2024;R$ 429.132,00;135;R$ 3.178,76;Loja oculta 1;;;
01/02/2024;R$ 91.472,87;181;R$ 505,37;Loja oculta 3;;;
01/02/2024;R$ 88.547,81;40;R$ 2.213,70;Loja oculta 2;;;
01/02/2024;R$ 44.125,27;53;R$ 832,55;Loja oculta 4;;;
01/02/2024;R$ 5.467,50;2;R$ 2.733,75;Loja oculta 1;;;
01/02/2024;R$ 115.546,01;77;R$ 1.500,60;Loja oculta 1;;;
01/02/2024;R$ 156.274,90;;;Loja oculta 1;;;
01/02/2024;R$ 53.600,00;48;R$ 1.116,67;Loja oculta 1;;;
01/02/2024;R$ 425.929,50;121;R$ 3.520,08;Loja oculta 1;;;
01/03/2024;R$ 64.741,82;218;R$ 296,98;Loja oculta 3;;;
01/03/2024;R$ 111.153,00;47;R$ 2.364,96;Loja oculta 2;;;
01/03/2024;R$ 26.696,12;50;R$ 533,92;Loja oculta 4;;;
01/03/2024;R$ 2.925,18;4;R$ 731,30;Loja oculta 1;;;
01/03/2024;R$ 126.597,92;106;R$ 1.194,32;Loja oculta 1;;;
01/03/2024;R$ 112.072,64;;;Loja oculta 1;;;
01/03/2024;R$ 63.276,45;48;R$ 1.318,26;Loja oculta 1;;;
01/03/2024;R$ 962.380,07;122;R$ 7.888,36;Loja oculta 1;;;
01/04/2024;R$ 135.880,91;237;R$ 573,34;Loja oculta 3;;;
01/04/2024;R$ 212.188,69;51;R$ 4.160,56;Loja oculta 2;;;
01/04/2024;R$ 70.905,54;65;R$ 1.090,85;Loja oculta 4;;;
01/04/2024;R$ 8.816,53;7;R$ 1.259,50;Loja oculta 1;;;
01/04/2024;R$ 125.303,87;88;R$ 1.423,91;Loja oculta 1;;;
01/04/2024;R$ 151.518,00;;;Loja oculta 1;;;
01/04/2024;R$ 60.919,74;48;R$ 1.269,16;Loja oculta 1;;;
01/04/2024;R$ 407.363,33;124;R$ 3.285,19;Loja oculta 1;;;
01/05/2024;R$ 108.113,51;207;R$ 522,29;Loja oculta 3;;;
01/05/2024;R$ 185.000,00;35;R$ 5.285,71;Loja oculta 2;;;
01/05/2024;R$ 26.523,60;69;R$ 384,40;Loja oculta 4;;;
01/05/2024;R$ 44.316,56;13;R$ 3.408,97;Loja oculta 1;;;
01/05/2024;R$ 88.160,14;65;R$ 1.356,31;Loja oculta 1;;;
01/05/2024;R$ 99.313,00;;;Loja oculta 1;;;
01/05/2024;R$ 42.610,00;48;R$ 887,71;Loja oculta 1;;;
01/05/2024;R$ 352.732,73;134;R$ 2.632,33;Loja oculta 1;;;
01/06/2024;R$ 86.944,27;201;R$ 432,56;Loja oculta 3;;;
01/06/2024;R$ 191.579,45;31;R$ 6.179,98;Loja oculta 2;;;
01/06/2024;R$ 43.537,65;69;R$ 630,98;Loja oculta 4;;;
01/06/2024;R$ 10.562,06;5;R$ 2.112,41;Loja oculta 1;;;
01/06/2024;R$ 139.946,66;88;R$ 1.590,30;Loja oculta 1;;;
01/06/2024;R$ 69.464,00;;;Loja oculta 1;;;
01/06/2024;R$ 44.482,25;48;R$ 926,71;Loja oculta 1;;;
01/06/2024;R$ 525.031,73;133;R$ 3.947,61;Loja oculta 1;;;
01/07/2024;R$ 122.396,11;255;R$ 479,98;Loja oculta 3;;;
01/07/2024;R$ 201.627,97;41;R$ 4.917,76;Loja oculta 2;;;
01/07/2024;R$ 35.378,17;73;R$ 484,63;Loja oculta 4;;;
01/07/2024;R$ 3.751,59;5;R$ 750,32;Loja oculta 1;;;
01/07/2024;R$ 121.836,74;85;R$ 1.433,37;Loja oculta 1;;;
01/07/2024;R$ 152.572,40;;;Loja oculta 1;;;
01/07/2024;R$ 43.372,00;48;R$ 903,58;Loja oculta 1;;;
